property,room_id,room_type,floor,bed_type,max_guests,size_sqm,base_rate_vnd
The Anam 1,ANAM1-001,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-002,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-003,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-004,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-005,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-006,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-007,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-008,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-009,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-010,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-011,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-012,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-013,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-014,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-015,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-016,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-017,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-018,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-019,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-020,Deluxe King,1,King,2,42,4230000
The Anam 1,ANAM1-021,Deluxe King,2,King,2,42,4230000
The Anam 1,ANAM1-022,Deluxe King,2,King,2,42,4230000
The Anam 1,ANAM1-023,Deluxe King,2,King,2,42,4230000
The Anam 1,ANAM1-024,Deluxe King,2,King,2,42,4230000
The Anam 1,ANAM1-025,Deluxe King,2,King,2,42,4230000
The Anam 1,ANAM1-026,Deluxe King,2,King,2,42,4230000
The Anam 1,ANAM1-027,Deluxe King,2,King,2,42,4230000
The Anam 1,ANAM1-028,Deluxe King,2,King,2,42,4230000
The Anam 1,ANAM1-029,Deluxe King,2,King,2,42,4230000
The Anam 1,ANAM1-030,Deluxe King,2,King,2,42,4230000
The Anam 1,ANAM1-031,Deluxe King,2,King,2,42,4230000
The Anam 1,ANAM1-032,Deluxe King,2,King,2,42,4230000
The Anam 1,ANAM1-033,Deluxe King,2,King,2,42,4230000
The Anam 1,ANAM1-034,Deluxe King,2,King,2,42,4230000
The Anam 1,ANAM1-035,Deluxe King,2,King,2,42,4230000
The Anam 1,ANAM1-036,Deluxe King,2,King,2,42,4230000
The Anam 1,ANAM1-037,Deluxe Twin,1,Twin,2,42,4230000
